name,slug,parentid,page_title,page_heading,description,tags,hide,sort_order
Venues,venues,0,"Atlanta Wedding Reception, Atlanta Event Venues, Venues in Atlanta, Wedding Venues in Atlanta, Atlanta Venues - AtlantaOccasions.com","Atlanta Event Venues and Wedding Reception Sites","Browse our collection of Preferred Atlanta Venues and Wedding Reception Sites",,0,1.00
"Rehearsal Dinner & Private Dining",dining,0,"Atlanta Wedding Rehearsal Dinner Venues, Rehearsal Dinner in Atlanta,&nbsp;<meta charset=""utf-8"">Private Dining in Atlanta, Atlanta Private Dining Restaurants&nbsp;- AtlantaOccasions.com","Atlanta Wedding Rehearsal Dinner and Private Dining Venues","Browse our collection of Preferred Atlanta Wedding Rehearsal Dinner &amp; Private Dining Venues",,0,2.00
"Professional Services",services,0,"Atlanta Wedding Vendors, Atlanta Wedding Professionals, Atlanta Event Professional,&nbsp;<meta charset=""utf-8"">Atlanta Event&nbsp;Vendors&nbsp;- AtlantaOccasions.com","Atlanta Wedding and Event Professionals","Browse our collection of Preferred Atlanta Wedding &amp; Event Professionals",,1,99.00
"Bands & Orchestras",bands,3,"Atlanta Bands, Atlanta Wedding Bands, Atlanta Wedding Entertainment - AtlantaOccasions.com","Atlanta Bands & Event Entertainment","Browse our collection of Preferred Atlanta Wedding Bands and Event Entertainment.",,0,99.00
"Bars & Clubs",barsclubs,3,"Atlanta Bars and Nightclubs, Weddings at Atlanta Nightclubs, Atlanta Bar and Nightclub rental for Special Events - AtlantaOccasions.com","Atlanta Bars and Club Venues for Special Events","Browse our collection of Preferred Atlanta Bars and Nightclubs.",,1,99.00
"Bridal & Gift Registry",registries,3,"Atlanta Bridal and Gift Registry Stores, Bridal Registry - AtlantaOccasions.com","Atlanta Bridal Registry Stores","Browse our collection of Preferred Atlanta Bridal Registry Stores.",,0,99.00
"Cakes & Desserts",cakes,3,"Atlanta Wedding Cakes, Atlanta Chocolate Fountains, Wedding Cakes in Atlanta, Chocolate Fountains in Atlanta - AtlantaOccasions.com","Atlanta Wedding Cakes, Chocolate Fountains and Event Dessert Options","Browse our collection of Preferred Atlanta Wedding Cakes, Chocolate Fountain and Event Dessert Specialists",,0,99.00
"Caterers & Service Staff",caterers,3,"Atlanta Caterers, Atlanta Wedding Caterers, Atlanta Corporate Catering, Catering in Atlanta - AtlantaOccasions.com","Atlanta Caterers and Wedding Catering Specialists","Browse our collection of Preferred Atlanta Caterers and Wedding Catering Specialists",,0,99.00
"Ceremony Musicians",musicians,3,"Atlanta Musicians, Atlanta Ceremony Musicians, Atlanta Wedding Ceremony Musicians - AtlantaOccasions.com","Atlanta Ceremony Musicians","Browse our collection of Preferred Atlanta Wedding Ceremony Musicians.",,0,99.00
"Child Care",childcare,3,"Atlanta Event Childcare, Event Childcare in Atlanta, Atlanta Wedding Babysitting - AtlantaOccasions.com","Atlanta Event Childcare and Wedding Babysitting Services","Browse our collection of Preferred Atlanta Childcare and Wedding Babysitting Companies",,1,99.00
"Destination Weddings & Events",destination,3,"Atlanta Destination Weddings, Destination Weddings in Atlanta, Atlanta Corporate Retreats, Corporate Retreats in Atlanta - AtlantaOccasions.com","Atlanta Destination Weddings and Corporate Retreats","Browse our collection of Preferred Atlanta Destination Wedding and Corporate Retreat Specialists",,1,99.00
"Disc Jockeys",djs,3,"Atlanta Disc Jockeys, DJ in Atlanta, Atlanta DJ, Disc Jockeys in Atlanta - AtlantaOccasions.com","Atlanta Disc Jockeys - DJs","Browse our collection of Preferred Atlanta Wedding DJs and Event Disc Jockeys.",,0,99.00
"Equipment Rentals",rentals,3,"Atlanta Party Rental, Rental Companies in Atlanta, Atlanta Tent Rental, Atlanta Chair Covers and Linens - AtlantaOccasions.com","Atlanta Party Rental and Tent Rental","Browse our collection of Preferred Atlanta Equipment Rental and Party Rental Specialists",,0,99.00
"Event Planners",planners,3,"Atlanta Event Planner, Event Planners in Atlanta, Atlanta Wedding Planners, Corporate Event Planners in Atlanta - AtlantaOccasions.com","Atlanta Event Planners and Wedding Planning Specialists","Browse our collection of Preferred Atlanta Event Planners and Wedding Planning Specialists",,0,99.00
"Favors & Gifts",favors,3,"Atlanta Wedding Favors, Bar Mitzvah Favors, Bat Mitzvah Favors, Atlanta Guest Favors - AtlantaOccasions.com","Atlanta Wedding and Event Favors","Browse our collection of Preferred Atlanta Wedding Favors and Gifts",,0,99.00
"Florals & Decorations",florals,3,"Atlanta Florist, Atlanta Wedding Florist, Atlanta Wedding Flowers, Atlanta Event Design, Atlanta Event Decorations - AtlantaOccasions.com","Atlanta Florist and Event Design Services","Browse our collection of Preferred Atlanta Wedding Florists and Event Design Specialists",,0,99.00
"Hair & Makeup",hairmakeup,3,"Atlanta Beauty Salons, Atlanta Hair Salons, Atlanta Makeup Artists, Atlanta Wedding Makeup, Airbrush Makeup in Atlanta - AtlantaOccasions.com","Atlanta Hair Salons and Wedding Makeup Services","Browse our collection of Preferred Atlanta Hair Salons and Makeup Services",,0,99.00
Honeymoon,honeymoon,3,"Atlanta Honeymoon, Travel Agencies in Atlanta, Atlanta Travel Agencies - AtlantaOccasions.com","Atlanta Travel Agencies and Honeymoons","Browse our collection of Preferred Atlanta Travel Agencies and Honeymoon Specialists",,1,99.00
